bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
43219,Hegemony and Socialist Strategy: Towards a Radical Democratic Politics,Ernesto Laclau/Chantal Mouffe,3.89,1859843301,9.78186E+12,eng,200,1063,35,5/17/2001,Verso
28278,When Rain Clouds Gather,Bessie Head,3.84,435909614,9.78044E+12,eng,185,1063,86,6/5/1996,Heinemann Educational Books
30889,The Crazyladies of Pearl Street,Trevanian,3.77,1400080371,9.7814E+12,eng,384,1063,157,6/6/2006,Broadway Books
16601,Vampire Hunter D Volume 07: Mysterious Journey to the North Sea - Part One,Hideyuki Kikuchi/Yoshitaka Amano,4.27,1595821074,9.7816E+12,en-US,209,1062,19,5/7/2007,Digital Manga Publishing / Dark Horse
28295,Things: A Story of the Sixties; A Man Asleep,Georges Perec/David Bellos/Andrew Leak,3.98,1567921574,9.78157E+12,eng,221,1062,63,7/16/2010,David R. Godine Publisher
26239,Revolutionary Girl Utena  Vol. 4: To Bud,Chiho Saito,4.06,1591160685,9.78159E+12,eng,192,1060,18,10/1/2003,VIZ Media LLC
16430,City of Night (Dean Koontz's Frankenstein  #2),Dean Koontz/Ed Gorman,3.98,553587897,9.78055E+12,en-US,455,1060,116,7/26/2005,Bantam Books
34460,Quicksand,Jun'ichirō Tanizaki/Howard Hibbett,3.65,679760229,9.78068E+12,eng,224,1060,90,6/24/1995,Vintage
28211,Deep Fire Rising (Philip Mercer  #6),Jack Du Brul,4.19,451411188,9.78045E+12,eng,483,1059,27,12/2/2003,Berkley Books
5240,Ronald Reagan: How an Ordinary Man Became an Extraordinary Leader,Dinesh D'Souza,4.13,684848236,9.78068E+12,eng,304,1059,35,2/23/1999,Free Press
3788,Thursday's Child (Margaret Thursday  #1),Noel Streatfeild,3.98,440486874,9.78044E+12,eng,256,1059,38,12/1/1985,Yearling
1373,Iliad,Homer/Stanley Lombardo/Sheila Murnaghan,3.86,872203522,9.78087E+12,en-US,574,1058,137,3/12/1997,Hackett Publishing Company  Inc.
15136,The Adventuress,Audrey Niffenegger,3.33,081097052X,9.78081E+12,eng,144,1058,148,9/1/2006,Abrams
23948,My Education: A Book of Dreams,William S. Burroughs,3.7,140094547,9.78014E+12,eng,193,1055,47,6/1/1996,Penguin Books
10431,Cuba 15,Nancy Osa,3.45,385732333,9.78039E+12,eng,304,1054,145,3/8/2005,Ember
38532,The New Jessica (Sweet Valley High  #32),Francine Pascal/Kate William,3.44,553275607,9.78055E+12,eng,136,1054,25,10/1/1986,Bantam Books
28910,Journal of a Novel: The East of Eden Letters,John Steinbeck,4.09,140144188,9.78014E+12,eng,182,1053,126,12/1/1990,Penguin Books
10879,The Gonzo Way: A Celebration of Dr. Hunter S. Thompson,Anita Thompson,3.96,1555916228,9.78156E+12,en-US,112,1052,36,7/1/2007,Fulcrum Publishing
13337,The Odes,Pindar/Cecil Maurice Bowra/Daniel C. Snell/Dawson William Turner/Maehler/Abraham Moore,3.89,014044209X,9.78014E+12,eng,256,1052,23,9/30/1982,Penguin Books
11101,First Comes Love (Hot Water  California #1),Christie Ridgway,3.81,380818957,9.78038E+12,en-US,384,1051,47,1/1/2002,Avon Books
14003,The River's Gift,Mercedes Lackey,3.9,451457595,9.78045E+12,eng,128,1050,59,10/2/1999,Roc Hardcover
32814,The Canterbury Tales,Geoffrey Chaucer/Nevill Coghill,3.49,140440224,9.78014E+12,eng,489,1050,74,7/30/1970,Penguin Books
27440,The Marvel Encyclopedia,Tom DeFalco/Peter Sanderson/Michael Teitelbaum/Daniel  Wallace/Tom Brevoort/Andrew Darling,4.37,756623588,9.78076E+12,eng,352,1049,43,10/16/2006,DK
24775,The Butterfly Tattoo,Philip Pullman,3.19,330397966,9.78033E+12,eng,186,1048,83,9/2/2005,Young Picador
27410,The Library of Greek Mythology,Apollodorus/Robin Hard,3.98,192839241,9.78019E+12,eng,336,1047,34,2/25/1999,Oxford University Press
11244,Mystical Paths (Starbridge  #5),Susan Howatch,4.23,6496873,9.78001E+12,eng,576,1045,38,7/1/1996,HarperCollins Publishers
28308,My Name is Aram,William Saroyan/Don Freeman,4.15,440362059,9.78044E+12,en-US,151,1045,66,6/1/1991,Laurel Press
19610,Chilly Scenes of Winter,Ann Beattie,3.91,679732349,9.78068E+12,en-GB,288,1045,100,1/2/1991,Vintage
23391,Running from the Deity (Pip & Flinx #11),Alan Dean Foster,3.81,345461614,9.78035E+12,eng,280,1045,26,11/28/2006,Del Rey Books
13650,The Wave in the Mind: Talks and Essays on the Writer  the Reader and the Imagination,Ursula K. Le Guin,4.3,1590300068,9.78159E+12,eng,314,1044,164,2/17/2004,Shambhala
26472,Isak Dinesen: The Life of a Storyteller,Judith Thurman,4.06,312135254,9.78031E+12,en-US,512,1041,53,10/15/1995,Picador
5415,'Salem's Lot,Stephen King,4.02,965772411,9.78097E+12,eng,405,1039,130,10/17/1975,Doubleday
24739,If the River Was Whiskey,T. Coraghessan Boyle,3.94,140119507,9.78014E+12,eng,240,1038,69,5/1/1990,Penguin Books
8508,The Jefferson Bible: The Life and Morals of Jesus of Nazareth,Thomas Jefferson,3.82,1557091846,9.78156E+12,eng,103,1038,100,8/1/2006,Applewood Books
